client_id,age,job,marital,education,credit_default,mortgage
0,56,housemaid,married,basic_4y,,
1,57,services,married,high_school,,
2,37,services,married,high_school,,
3,40,admin_,married,basic_6y,,
4,56,services,married,high_school,,
5,45,services,married,basic_9y,,
6,59,admin_,married,professional_course,,
7,41,blue-collar,married,,,
8,24,technician,single,professional_course,,
9,25,services,single,high_school,,
10,41,blue-collar,married,,,
11,25,services,single,high_school,,
12,29,blue-collar,single,high_school,,
13,57,housemaid,divorced,basic_4y,,
14,35,blue-collar,married,basic_6y,,
15,54,retired,married,basic_9y,,
16,35,blue-collar,married,basic_6y,,
17,46,blue-collar,married,basic_6y,,
18,50,blue-collar,married,basic_9y,,
19,39,management,single,basic_9y,,
20,30,unemployed,married,high_school,,
21,55,blue-collar,married,basic_4y,,
22,55,retired,single,high_school,,
23,41,technician,single,high_school,,
24,37,admin_,married,high_school,,
25,35,technician,married,university_degree,,
26,59,technician,married,,,
27,39,self-employed,married,basic_9y,,
28,54,technician,single,university_degree,,
29,55,unknown,married,university_degree,,
30,46,admin_,married,,,
31,59,technician,married,,,
32,49,blue-collar,married,,,
33,54,management,married,basic_4y,,
34,54,blue-collar,divorced,basic_4y,,
35,55,unknown,married,basic_4y,,
36,34,services,married,high_school,,
37,52,technician,married,basic_9y,,
38,41,admin_,married,university_degree,,
39,56,technician,married,basic_4y,,
40,58,management,unknown,university_degree,,
41,32,entrepreneur,married,high_school,,
42,38,admin_,single,professional_course,,
43,57,admin_,married,university_degree,,
44,44,admin_,married,university_degree,,
45,42,technician,single,professional_course,,
46,57,admin_,married,university_degree,,
47,40,blue-collar,married,basic_9y,,
48,35,admin_,married,university_degree,,
49,45,blue-collar,married,basic_9y,,
50,54,admin_,married,high_school,,
51,39,housemaid,married,basic_4y,,
52,60,admin_,married,high_school,,
53,53,admin_,single,professional_course,,
54,55,blue-collar,married,basic_4y,,
55,55,technician,married,professional_course,,
56,50,management,married,university_degree,,
57,45,services,married,high_school,,
58,55,unemployed,married,professional_course,,
59,25,technician,single,university_degree,,
60,47,entrepreneur,married,university_degree,,
61,51,blue-collar,married,basic_9y,,
62,42,blue-collar,married,basic_6y,,
63,42,blue-collar,married,basic_6y,,
64,48,admin_,married,high_school,,
65,37,admin_,married,university_degree,,
66,44,blue-collar,single,basic_9y,,
67,33,admin_,married,,,
68,56,admin_,married,basic_9y,,
69,44,blue-collar,single,basic_4y,,
70,41,management,married,basic_6y,,
71,44,management,divorced,university_degree,,
72,47,admin_,married,university_degree,,
73,57,unknown,married,,,
74,37,admin_,married,university_degree,,
75,41,blue-collar,divorced,basic_4y,,
76,55,technician,married,university_degree,,
77,33,services,married,high_school,,
78,55,management,married,,,
79,42,blue-collar,married,basic_9y,,
80,50,blue-collar,married,basic_4y,,
81,51,blue-collar,married,basic_4y,,
82,38,admin_,married,high_school,,
83,49,entrepreneur,married,university_degree,,
84,38,technician,single,university_degree,,
85,31,admin_,divorced,high_school,,
86,41,management,married,basic_6y,,
87,39,admin_,married,university_degree,,
88,49,technician,married,basic_9y,,
89,34,admin_,married,high_school,,
90,35,admin_,married,university_degree,,
91,57,unknown,married,,,
92,60,admin_,married,,,
93,33,unemployed,married,basic_9y,,
94,42,blue-collar,married,basic_6y,,
95,45,services,married,professional_course,,
96,42,management,married,university_degree,,
97,53,admin_,divorced,university_degree,,
98,37,technician,single,professional_course,,
99,44,blue-collar,married,basic_6y,,
100,54,services,married,,,
101,49,blue-collar,married,basic_4y,,
102,54,services,married,,,
103,52,admin_,divorced,university_degree,,
104,52,admin_,divorced,university_degree,,
105,43,services,single,high_school,,
106,34,housemaid,married,basic_6y,,
107,35,admin_,married,high_school,,
108,42,entrepreneur,married,,,
109,43,technician,married,,,
110,60,retired,divorced,university_degree,,
111,58,unemployed,married,basic_4y,,
112,35,services,divorced,high_school,,
113,55,blue-collar,married,basic_9y,,
114,37,management,married,university_degree,,
115,36,blue-collar,married,high_school,,
116,52,admin_,divorced,university_degree,,
117,57,blue-collar,divorced,,,
118,56,admin_,married,,,
119,48,blue-collar,divorced,basic_4y,,
120,40,blue-collar,married,high_school,,
121,49,blue-collar,divorced,high_school,,
122,41,services,married,high_school,,
123,45,technician,married,high_school,,
124,32,admin_,married,university_degree,,
125,42,admin_,married,university_degree,,
126,50,admin_,married,basic_6y,,
127,31,technician,divorced,professional_course,,
128,56,retired,married,basic_4y,,
129,41,technician,married,professional_course,,
130,37,blue-collar,married,basic_6y,,
131,41,technician,married,professional_course,,
132,35,blue-collar,married,,,
133,37,blue-collar,married,basic_6y,,
134,52,management,married,university_degree,,
135,39,management,divorced,university_degree,,
136,39,housemaid,married,basic_4y,,
137,56,blue-collar,married,basic_4y,,
138,34,services,married,high_school,,
139,45,blue-collar,married,basic_9y,,
140,43,unemployed,single,university_degree,,
141,56,management,married,,,
142,39,management,married,university_degree,,
143,53,blue-collar,married,basic_4y,,
144,38,unknown,divorced,high_school,,
145,42,blue-collar,married,basic_4y,,
146,42,blue-collar,married,basic_4y,,
147,35,admin_,single,high_school,,
148,40,admin_,married,university_degree,,
149,51,blue-collar,married,basic_4y,,
150,60,blue-collar,married,basic_9y,,
151,56,entrepreneur,married,,,
152,39,services,divorced,high_school,,
153,56,entrepreneur,married,,,
154,40,blue-collar,married,,,
155,36,blue-collar,married,basic_9y,,
156,51,blue-collar,married,,,
157,51,blue-collar,married,,,
